text;model;scale;items;.score;comment
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Надежность;некачественный – обычный – качественный;0,010523839853704;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Надежность;хлипкий – стандартный – прочный;-0,0288327634334564;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,423936493694782;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,49081133492291;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,154614254832268;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Инновационность;устаревший – сдержанный – инновационный;0,170418366789818;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Инновационность;отсталый – стабильный – изобретательный;-0,286302849650383;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Популярность;немодный – адекватный – модный;-0,0974774956703186;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Популярность;неактуальный – специфический – молодежный;-0,0486783236265182;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Популярность;непопулярный – известный – популярный;0,735268916934729;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,0355564653873444;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Надежность;ненадежный – нормальный – надежный;-0,436013802886009;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Надежность;некачественный – обычный – качественный;0,0185668170452118;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Надежность;хлипкий – стандартный – прочный;-0,105073899030685;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,444526344537735;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,740551292896271;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;mjwong/mcontriever-msmarco-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,35248014330864;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;-0,0907039120793343;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;-0,0872589200735092;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,121115133166313;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;0,857127442955971;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,331139726564288;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,167730450630188;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,0029468908905983;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,00171597069129348;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;-0,0561590380966663;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,803866117901634;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,821110626100563;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,126671224832535;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Инновационность;устаревший – сдержанный – инновационный;0,069459855556488;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Инновационность;отсталый – стабильный – изобретательный;0,193608090281487;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;немодный – адекватный – модный;0,813462413847446;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;неактуальный – специфический – молодежный;0,75929269939661;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;непопулярный – известный – популярный;0,942479036282748;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,753220483660698;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;ненадежный – нормальный – надежный;0,183538928627968;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;некачественный – обычный – качественный;0,0432208329439163;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;хлипкий – стандартный – прочный;-0,0620644614100456;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,0674994445871562;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,749486857559532;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,0283511579036713;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Инновационность;устаревший – сдержанный – инновационный;0,983216447755694;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Инновационность;отсталый – стабильный – изобретательный;0,779960826039314;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;немодный – адекватный – модный;0,994934879476205;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;неактуальный – специфический – молодежный;0,0020137972314842;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;непопулярный – известный – популярный;0,0488091774750501;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;малоизвестный – элитарный – знаменитый;-0,0257150083780289;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;ненадежный – нормальный – надежный;-0,294782415032387;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;некачественный – обычный – качественный;0,278116181492805;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;хлипкий – стандартный – прочный;-0,0164334326982498;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,998841581211309;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,995665560360067;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,399615943431854;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Инновационность;устаревший – сдержанный – инновационный;0,069459855556488;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Инновационность;отсталый – стабильный – изобретательный;0,193608090281487;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;немодный – адекватный – модный;0,813462413847446;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;неактуальный – специфический – молодежный;0,75929269939661;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;непопулярный – известный – популярный;0,942479036282748;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;малоизвестный – элитарный – знаменитый;0,753220483660698;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;ненадежный – нормальный – надежный;0,183538928627968;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;некачественный – обычный – качественный;0,0432208329439163;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;хлипкий – стандартный – прочный;-0,0620644614100456;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,0674994445871562;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,749486857559532;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,0283511579036713;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Инновационность;устаревший – сдержанный – инновационный;0,0760015323758125;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Инновационность;отсталый – стабильный – изобретательный;0,240195348858833;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;немодный – адекватный – модный;0,0648604780435562;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;неактуальный – специфический – молодежный;-0,586984571069479;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;непопулярный – известный – популярный;0,263667732477188;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;малоизвестный – элитарный – знаменитый;-0,0840543210506439;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;ненадежный – нормальный – надежный;-0,340515606105328;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;некачественный – обычный – качественный;0,608634725213051;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;хлипкий – стандартный – прочный;-0,165937691926956;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,00112226605415344;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,31952577829361;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,288978695869446;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Инновационность;;0;Недостаточно информации о инновациях и innovativности продукции Y
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Популярность;;-1;Текст suggests, что Y не является популярным брендом, поскольку его продукция не понимается или не ценится mass-audience
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Надежность;;0;Недостаточно информации о надежности продукции Y
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Уникальность;;-1;Текст suggests, что Y не является уникальным брендом, поскольку его продукция не отличается от других и не понимается mass-audience
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Инновационность;;0;Текст не предоставляет информации о инновационности бренда Y.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Популярность;;0,8;Продукция Y рассчитана на массового потребителя, что может указывать на ее популярность.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Надежность;;0;Текст не предоставляет информации о надежности продукции Y.
