"premise","hypothesis","label","idx"
"Бесплатные VPN-сервисы могут стать причиной утечки ваших персональных данных, включая сетевой трафик, пароли и банковские данные.","Пользоваться VPN опасно","entailment",41
"Я не люблю поп-музыку","Я люблю поп-музыку.","not_entailment",42
"Мне нравится натуральный мех.","Мне не нравится натуральный мех","not_entailment",43
"в ркн, работают ебаные имбицылы, с мозгами как у курицы","Мне не нравится РКН","entailment",44
"в ркн, работают ебаные имбицылы, с мозгами как у курицы","Мне нравится РКН","not_entailment",45
"в ркн, работают ебаные имбицылы, с мозгами как у курицы","В РКН работают умные люди","not_entailment",46
"Роскомнадзор объяснил блокировку Viber.","Роскомнадзор плохой","not_entailment",47
"В Роскомнадзоре объяснили блокировку Viber","Роскомнадзор хороший","not_entailment",48
"клоуны\n\nРоскомнадзор объяснил блокировку Viber.","Роскомнадзор плохой","entailment",49
"клоуны\n\nВ Роскомнадзоре объяснили блокировку Viber","Роскомнадзор хороший","not_entailment",50
"роскомпозор\n\nРоскомнадзор объяснил блокировку Viber.","Роскомнадзор плохой","entailment",132
"роскомпозор\n\nВ Роскомнадзоре объяснили блокировку Viber","Роскомнадзор хороший","not_entailment",133
"идиоты\n\nРоскомнадзор объяснил блокировку Viber.","Роскомнадзор плохой","entailment",134
"идиоты\n\nВ Роскомнадзоре объяснили блокировку Viber","Роскомнадзор хороший","not_entailment",135
"I hate cats","Cats are good","not_entailment",51
"I hate cats.","Cats are bad","entailment",52
"I love cats","Cats are good.","entailment",53
"I love cats","Cats are bad","not_entailment",54
"I despise dogs.","Dogs are good.","not_entailment",55
"I despise dogs","Dogs are bad","entailment",56
"I like dogs.","Dogs are good.","entailment",57
"I like dogs","Dogs are bad.","not_entailment",58
"Для наших врагов хорошо, что мы выиграли тендер.","Для нас плохо, что мы выиграли тендер.","entailment",59
"Для наших врагов плохо, что мы получили грант.","Для нас хорошо, что мы получили грант.","entailment",60
"Для наших врагов плохо, что мы зарегистрировали этот патент.","Для нас хорошо, что мы зарегистрировали этот патент","entailment",61
"Для наших врагов хорошо, что мы подали заявку на грант.","Для нас хорошо, что мы получили грант.","not_entailment",62
"Для наших соперников хорошо, что наш продукт стал популярным.","Для нас плохо, что наш продукт стал популярным.","entailment",63
"Для наших врагов хорошо, что мы открыли новый офис.","Для нас плохо, что мы открыли новый офис.","entailment",64
"Для наших соперников не хорошо, что наш продукт стал популярным.","Для нас плохо, что наш продукт стал популярным.","not_entailment",65
"Для наших соперников не хорошо, что наш продукт стал популярным.","Для нас хорошо, что наш продукт стал популярным.","entailment",66
"Для наших врагов не хорошо, что мы открыли новый офис.","Для нас плохо, что мы открыли новый офис.","not_entailment",67
"Для наших врагов не хорошо, что мы открыли новый офис.","Для нас хорошо, что мы открыли новый офис","entailment",68
"Для наших врагов плохо, что мы запустили рекламную кампанию","Для нас хорошо, что мы запустили рекламную кампанию.","entailment",69
"Для наших врагов плохо, что мы запустили рекламную кампанию.","Плохо, что мы запустили рекламную кампанию.","not_entailment",70
"Для наших врагов хорошо, что мы запустили рекламную кампанию.","Хорошо, что мы запустили рекламную кампанию","not_entailment",71
"Для наших врагов не хорошо, что мы запустили рекламную кампанию.","Не хорошо, что мы запустили рекламную кампанию.","not_entailment",72
"Для наших конкурентов хорошо, что мы увеличили цены.","Для нас плохо, что мы увеличили цены.","entailment",73
"Для наших конкурентов хорошо, что мы увеличили цены.","Хорошо, что мы увеличили цены.","not_entailment",74
"Для наших врагов плохо, что мы получили положительные отзывы","Для нас хорошо, что мы получили положительные отзывы.","entailment",75
"Для наших врагов плохо, что мы получили положительные отзывы.","Плохо, что мы получили положительные отзывы","not_entailment",76
"Для наших соперников хорошо, что мы потеряли клиента.","Для нас плохо, что мы потеряли клиента","entailment",77
"Для наших соперников хорошо, что мы потеряли клиента.","Хорошо, что мы потеряли клиента.","not_entailment",77
"Для наших врагов хорошо, что мы не смогли выполнить заказ.","Плохо, что мы не смогли выполнить заказ.","entailment",78
"Для наших врагов хорошо, что мы не успели выполнить заказ","Хорошо, что мы не смогли выполнить заказ.","not_entailment",79
"Для наших конкурентов плохо, что мы расширяем ассортимент.","Хорошо, что мы расширяем ассортимент","entailment",80
"Для наших конкурентов плохо, что мы расширяем ассортимент.","Плохо, что мы расширяем ассортимент.","not_entailment",81
"Для наших конкурентов не хорошо, что мы запускаем эту линейку.","Не хорошо, что мы запускаем эту линейку","not_entailment",82
"Для наших врагов плохо, что мы подписали контракт.","Хорошо, что мы подписали контракт.","entailment",83
"Для наших врагов плохо, что мы подписали контракт.","Не хорошо, что мы подписали контракт.","not_entailment",84
"Для наших соперников хорошо, что мы столкнулись с трудностями.","Для нас плохо, что мы столкнулись с трудностями.","entailment",85
"Для наших соперников хорошо, что мы столкнулись с трудностями.","Хорошо, что мы столкнулись с трудностями.","not_entailment",86
"Для наших врагов хорошо, что мы изменили стратегию.","Для нас плохо, что мы изменили стратегию","entailment",87
"Для наших врагов не хорошо, что мы сменили стратегию.","Для нас плохо, что мы изменили стратегию.","not_entailment",87
"Для наших конкурентов плохо, что мы получили финансирование.","Для нас хорошо, что мы получили финансирование.","entailment",88
"Для наших конкурентов не хорошо, что мы увеличили финансирование.","Хорошо, что мы увеличили финансирование.","entailment",89
"Для наших врагов хорошо, что мы потеряли ключевого сотрудника.","Для нас плохо, что мы потеряли ключевого сотрудника.","entailment",90
"Для наших врагов хорошо, что мы потеряли ключевого сотрудника.","Хорошо, что мы потеряли ключевого сотрудника.","not_entailment",91
"Для наших соперников плохо, что мы запустили новый продукт.","Для нас хорошо, что мы запустили новый продукт","entailment",92
"Для наших врагов плохо, что мы провели успешный семинар.","Плохо, что мы провели успешный семинар.","not_entailment",93
"Для наших конкурентов хорошо, что мы не смогли привлечь инвесторов.","Для нас плохо, что мы не смогли привлечь инвесторов.","entailment",94
"Для наших конкурентов хорошо, что мы не смогли привлечь инвестиции.","Не хорошо, что мы не смогли привлечь инвестиции.","entailment",95
"Для наших конкурентов не хорошо, что мы смогли привлечь инвестиции","Не хорошо, что мы смогли привлечь инвестиции","not_entailment",96
"Для наших врагов хорошо, что мы не справились с задачами.","Для нас плохо, что мы не справились с задачами.","entailment",97
"Для наших врагов хорошо, что мы не справились с задачами.","Хорошо, что мы не справились с задачами.","not_entailment",98
"Для наших соперников плохо, что мы выиграли суд.","Для нас хорошо, что мы выиграли суд.","entailment",99
"Для наших соперников плохо, что мы выиграли этот иск","Плохо, что мы выиграли суд.","not_entailment",100
"Для наших врагов хорошо, что погода испортилась.","Для нас плохо, что погода испортилась.","entailment",101
"Для наших врагов хорошо, что погода испортилась.","Хорошо, что погода испортилась","not_entailment",102
"Для наших соперников приятно, что мы не смогли добраться до вершины.","Для нас грустно, что мы не смогли добраться до вершины.","entailment",103
"Для наших противников приятно, что мы не смогли добраться до вершины.","Приятно, что мы не смогли добраться до вершины.","not_entailment",104
"Нашим врагам радостно, что наш план провалился.","Печально, что наш план провалился","entailment",105
"Для наших соперников радостно, что наш план провалился.","Радостно, что наш план провалился.","not_entailment",106
"Нашим противникам выгодно, что фильм не получил награды.","Хорошо, что фильм не получил наград.","not_entailment",107
"Наши соперники довольны, что фильм не удостоился награды.","Плохо, что фильм не получил награды.","entailment",108
"Для наших оппонентов хорошо, что мы не смогли организовать концерт.","Для нас жаль, что мы не смогли организовать концерт.","entailment",109
"Для наших врагов плохо, что у нас появилась новая собака.","Для нас хорошо, что у нас появилась новая собака.","entailment",110
"Для наших врагов плохо, что у нас появилась новая собака","Плохо, что у нас появилась новая собака.","not_entailment",111
"Нашим соперникам приятно, что мы не прошли отбор на соревнования.","Печально, что мы не прошли отбор.","entailment",112
"Нашим соперникам приятно, что мы не прошли отбор на соревнования.","Приятно, что мы не прошли отбор","not_entailment",113
"Для наших врагов хорошо, что мы не смогли завершить проект.","Плохо, что мы не смогли завершить проект.","entailment",114
"Для наших врагов хорошо, что мы не смогли завершить проект.","Хорошо, что мы не успели завершить проект.","not_entailment",115
"Для наших оппонентов плохо, что мы нашли решение проблемы.","Хорошо, что мы нашли решение проблемы","entailment",116
"Для наших оппонентов плохо, что мы вскоре нашли решение проблемы.","Плохо, что мы нашли решение проблемы","not_entailment",117
"Для наших врагов приятно, что мы не получили хорошую оценку.","Приятно, что мы не получили хорошую оценку.","not_entailment",118
"Для наших соперников хорошо, что мы не выиграли матч","Хорошо, что мы не выиграли матч.","not_entailment",119
"Для наших врагов радостно, что мы потеряли важный документ.","Радостно, что мы потеряли важный документ.","not_entailment",120
"Для наших оппонентов плохо, что мы получили признание.","Хорошо, что мы получили признание.","entailment",121
"Для наших оппонентов не хорошо, что мы получили признание.","Не хорошо, что мы получили признание","not_entailment",122
"Для наших врагов хорошо, что мы не смогли посетить выставку.","Для нас плохо, что мы не смогли посетить выставку.","entailment",123
"Нашим соперникам было приятно, что мы не смогли закончить книгу.","Приятно, что мы не смогли закончить книгу","not_entailment",124
"Для наших врагов плохо, что мы нашли общий язык с соседями.","Для нас хорошо, что мы нашли общий язык с соседями.","entailment",125
"Для наших оппонентов хорошо, что мы не смогли провести исследование.","Для нас хорошо, что мы не смогли провести исследование.","not_entailment",126
"Для наших врагов радостно, что мы не смогли добиться успеха на фестивале.","Для нас это огорчительно, что мы не смогли добиться успеха.","entailment",127
"Для наших врагов радостно, что мы не смогли добиться успеха на этом фестивале.","Радостно, что мы не смогли добиться успеха","not_entailment",128
"Для наших соперников хорошо, что мы не смогли собрать команду.","Для нас плохо, что мы не смогли собрать команду","entailment",129
"Для наших соперников хорошо, что мы не смогли собрать команду.","Хорошо, что мы не смогли собрать команду.","not_entailment",130
"Для наших врагов приятно, что мы не справились с задачей.","Приятно, что мы не справились с задачей","not_entailment",131
